clustering_bert.eps,clustering_bert.min_samples,DBSCAN Number of Clusters,DBSCAN Number of Outliers
0.5,6.0,3.0,32230.0
0.5,6.0,3.0,32230.0
0.5,5.0,6.0,32215.0
0.5,4.0,9.0,32203.0
0.5,3.0,14.0,32188.0
0.5,2.0,2032.0,28152.0
0.5,2.0,2032.0,28152.0
0.5,3.0,14.0,32188.0
0.5,4.0,9.0,32203.0
0.5,5.0,6.0,32215.0
0.5,6.0,3.0,32230.0
0.5,5.0,6.0,32215.0
0.5,4.0,9.0,32203.0
0.5,2.0,2032.0,28152.0
0.5,3.0,14.0,32188.0
0.5,3.0,14.0,32188.0
0.5,4.0,9.0,32203.0
0.5,5.0,6.0,32215.0
0.5,6.0,3.0,32230.0
0.5,2.0,2032.0,28152.0
0.5,3.0,14.0,32188.0
0.5,5.0,6.0,32215.0
0.5,2.0,2032.0,28152.0
0.5,4.0,9.0,32203.0
0.5,6.0,3.0,32230.0
1.0,3.0,14.0,32188.0
1.0,2.0,2032.0,28152.0
1.0,6.0,3.0,32230.0
1.0,4.0,9.0,32203.0
1.0,3.0,14.0,32188.0
1.0,2.0,2032.0,28152.0
1.0,4.0,9.0,32203.0
1.0,5.0,6.0,32215.0
1.0,5.0,6.0,32215.0
1.0,2.0,2032.0,28152.0
1.0,6.0,3.0,32230.0
1.0,6.0,3.0,32230.0
1.0,2.0,2032.0,28152.0
1.0,6.0,3.0,32230.0
1.0,3.0,14.0,32188.0
1.0,6.0,3.0,32230.0
1.0,5.0,6.0,32215.0
1.0,5.0,6.0,32215.0
1.0,3.0,14.0,32188.0
1.0,2.0,2032.0,28152.0
1.0,3.0,14.0,32188.0
1.0,4.0,9.0,32203.0
1.0,5.0,6.0,32215.0
1.0,4.0,9.0,32203.0
1.0,4.0,9.0,32203.0
1.5,3.0,14.0,32188.0
1.5,4.0,9.0,32203.0
1.5,2.0,2032.0,28152.0
1.5,4.0,9.0,32203.0
1.5,5.0,6.0,32215.0
1.5,3.0,14.0,32188.0
1.5,2.0,2032.0,28152.0
1.5,5.0,6.0,32215.0
1.5,6.0,3.0,32230.0
1.5,6.0,3.0,32230.0
1.5,3.0,14.0,32188.0
1.5,6.0,3.0,32230.0
1.5,5.0,6.0,32215.0
1.5,4.0,9.0,32203.0
1.5,3.0,14.0,32188.0
1.5,2.0,2032.0,28152.0
1.5,3.0,14.0,32188.0
1.5,4.0,9.0,32203.0
1.5,5.0,6.0,32215.0
1.5,6.0,3.0,32230.0
1.5,2.0,2032.0,28152.0
1.5,2.0,2032.0,28152.0
1.5,4.0,9.0,32203.0
1.5,6.0,3.0,32230.0
1.5,5.0,6.0,32215.0
2.0,4.0,9.0,32203.0
2.0,5.0,6.0,32215.0
2.0,3.0,14.0,32188.0
2.0,6.0,3.0,32230.0
2.0,2.0,2032.0,28152.0
2.0,2.0,2032.0,28152.0
2.0,3.0,14.0,32188.0
2.0,4.0,9.0,32203.0
2.0,5.0,6.0,32215.0
2.0,6.0,3.0,32230.0
2.0,4.0,9.0,32203.0
2.0,6.0,3.0,32230.0
2.0,4.0,9.0,32203.0
2.0,3.0,14.0,32188.0
2.0,5.0,6.0,32215.0
2.0,6.0,3.0,32230.0
2.0,6.0,3.0,32230.0
2.0,5.0,6.0,32215.0
2.0,5.0,6.0,32215.0
2.0,3.0,14.0,32188.0
2.0,2.0,2032.0,28152.0
2.0,4.0,9.0,32203.0
2.0,2.0,2032.0,28152.0
2.0,3.0,14.0,32188.0
2.0,2.0,2032.0,28152.0
2.5,2.0,2032.0,28152.0
2.5,3.0,14.0,32188.0
2.5,4.0,9.0,32203.0
2.5,6.0,3.0,32230.0
2.5,5.0,6.0,32215.0
2.5,4.0,9.0,32203.0
2.5,3.0,14.0,32188.0
2.5,5.0,6.0,32215.0
2.5,2.0,2032.0,28152.0
2.5,6.0,3.0,32230.0
2.5,2.0,2032.0,28152.0
2.5,4.0,9.0,32203.0
2.5,5.0,6.0,32215.0
2.5,6.0,3.0,32230.0
2.5,2.0,2032.0,28152.0
2.5,3.0,14.0,32188.0
2.5,4.0,9.0,32203.0
2.5,6.0,3.0,32230.0
2.5,5.0,6.0,32215.0
2.5,4.0,9.0,32203.0
2.5,3.0,14.0,32188.0
2.5,2.0,2032.0,28152.0
2.5,5.0,6.0,32215.0
2.5,6.0,3.0,32230.0
2.5,3.0,14.0,32188.0
3.0,5.0,6.0,32215.0
3.0,4.0,9.0,32203.0
3.0,5.0,6.0,32215.0
3.0,5.0,6.0,32215.0
3.0,3.0,14.0,32188.0
3.0,2.0,2032.0,28152.0
3.0,2.0,2032.0,28152.0
3.0,3.0,14.0,32188.0
3.0,4.0,9.0,32203.0
3.0,6.0,3.0,32230.0
3.0,4.0,9.0,32203.0
3.0,6.0,3.0,32230.0
3.0,2.0,2032.0,28152.0
3.0,2.0,2032.0,28152.0
3.0,3.0,14.0,32188.0
3.0,4.0,9.0,32203.0
3.0,5.0,6.0,32215.0
3.0,6.0,3.0,32230.0
3.0,6.0,3.0,32230.0
3.0,3.0,14.0,32188.0
3.0,4.0,9.0,32203.0
3.0,5.0,6.0,32215.0
3.0,6.0,3.0,32230.0
3.0,2.0,2032.0,28152.0
3.0,3.0,14.0,32188.0
3.5,2.0,2032.0,28152.0
3.5,3.0,14.0,32188.0
3.5,4.0,9.0,32203.0
3.5,5.0,6.0,32215.0
3.5,6.0,3.0,32230.0
3.5,3.0,14.0,32188.0
3.5,4.0,9.0,32203.0
3.5,3.0,14.0,32188.0
3.5,6.0,3.0,32230.0
3.5,2.0,2032.0,28152.0
3.5,5.0,6.0,32215.0
3.5,2.0,2032.0,28152.0
3.5,4.0,9.0,32203.0
3.5,5.0,6.0,32215.0
3.5,6.0,3.0,32230.0
3.5,3.0,14.0,32188.0
3.5,2.0,2032.0,28152.0
3.5,2.0,2032.0,28152.0
3.5,3.0,14.0,32188.0
3.5,5.0,6.0,32215.0
3.5,6.0,3.0,32230.0
3.5,4.0,9.0,32203.0
3.5,6.0,3.0,32230.0
3.5,5.0,6.0,32215.0
3.5,4.0,9.0,32203.0
4.0,3.0,14.0,32188.0
4.0,4.0,9.0,32203.0
4.0,3.0,14.0,32188.0
4.0,6.0,3.0,32230.0
4.0,5.0,6.0,32215.0
4.0,4.0,9.0,32203.0
4.0,2.0,2032.0,28152.0
4.0,3.0,14.0,32188.0
4.0,2.0,2032.0,28152.0
4.0,2.0,2032.0,28152.0
4.0,4.0,9.0,32203.0
4.0,6.0,3.0,32230.0
4.0,5.0,6.0,32215.0
4.0,3.0,14.0,32188.0
4.0,2.0,2032.0,28152.0
4.0,4.0,9.0,32203.0
4.0,5.0,6.0,32215.0
4.0,6.0,3.0,32230.0
4.0,5.0,6.0,32215.0
4.0,6.0,3.0,32230.0
4.0,6.0,3.0,32230.0
4.0,5.0,6.0,32215.0
4.0,4.0,9.0,32203.0
4.0,3.0,14.0,32188.0
4.0,2.0,2032.0,28152.0
4.5,2.0,2032.0,28152.0
4.5,5.0,6.0,32215.0
4.5,4.0,9.0,32203.0
4.5,3.0,14.0,32188.0
4.5,2.0,2032.0,28152.0
4.5,3.0,14.0,32188.0
4.5,2.0,2032.0,28152.0
4.5,3.0,14.0,32188.0
4.5,4.0,9.0,32203.0
4.5,5.0,6.0,32215.0
4.5,6.0,3.0,32230.0
4.5,6.0,3.0,32230.0
4.5,5.0,6.0,32215.0
4.5,4.0,9.0,32203.0
4.5,2.0,2032.0,28152.0
4.5,3.0,14.0,32188.0
4.5,3.0,14.0,32188.0
4.5,4.0,9.0,32203.0
4.5,5.0,6.0,32215.0
4.5,6.0,3.0,32230.0
4.5,5.0,6.0,32215.0
4.5,6.0,3.0,32230.0
4.5,4.0,9.0,32203.0
4.5,2.0,2032.0,28152.0
4.5,6.0,3.0,32230.0
